#node1,node2,node1_string_internal_id,node2_string_internal_id,node1_external_id,node2_external_id,neighborhood_on_chromosome,gene_fusion,phylogenetic_cooccurrence,homology,coexpression,experimentally_determined_interaction,database_annotated,automated_textmining,combined_score
VPS16,VPS18,1857223,1842787,9606.ENSP00000369810,9606.ENSP00000220509,0,0,0,0,0,0.999,0,0,0.999
XIAP,UBC,1853225,1852861,9606.ENSP00000347858,9606.ENSP00000344818,0,0,0,0,0,0.999,0,0,0.999
POLR2J,POLR2C,1847371,1842734,9606.ENSP00000292614,9606.ENSP00000219252,0,0,0,0,0,0.999,0,0,0.999
PSMA1,PSMA3,1861079,1842599,9606.ENSP00000414359,9606.ENSP00000216455,0,0,0,0.756,0,0.999,0,0,0.999
PSMB2,UCHL5,1855861,1854595,9606.ENSP00000362334,9606.ENSP00000356425,0,0,0,0,0,0.999,0,0,0.999
LSM3,LSM7,1848377,1844145,9606.ENSP00000302160,9606.ENSP00000252622,0,0,0,0,0,0.999,0,0,0.999
UBC,POLR2A,1852861,1849743,9606.ENSP00000344818,9606.ENSP00000314949,0,0,0,0,0,0.999,0,0,0.999
LSM2,NAA38,1856353,1843955,9606.ENSP00000364813,9606.ENSP00000249299,0,0,0,0,0,0.999,0,0,0.999
TMED10,TMED2,1848494,1845096,9606.ENSP00000303145,9606.ENSP00000262225,0,0,0,0.701,0,0.999,0,0,0.999
PSMA1,PSMB5,1861079,1854354,9606.ENSP00000414359,9606.ENSP00000355325,0,0,0,0,0,0.999,0,0,0.999
POLR2A,POLR2G,1849743,1848338,9606.ENSP00000314949,9606.ENSP00000301788,0,0,0,0,0,0.999,0,0,0.999
AIMP1,MARS,1858222,1845042,9606.ENSP00000378191,9606.ENSP00000262027,0,0,0,0,0,0.999,0,0,0.999
SDHB,SDHA,1856313,1845646,9606.ENSP00000364649,9606.ENSP00000264932,0,0,0,0,0,0.999,0,0,0.999
COPS5,COPS7B,1853602,1846289,9606.ENSP00000350512,9606.ENSP00000272995,0,0,0,0,0,0.999,0,0,0.999
STRN3,CCT7,1853542,1844568,9606.ENSP00000350071,9606.ENSP00000258091,0,0,0,0,0,0.999,0,0,0.999
POLR2K,POLR2G,1852637,1848338,9606.ENSP00000342889,9606.ENSP00000301788,0,0,0,0,0,0.999,0,0,0.999
RAD23B,UBC,1853623,1852861,9606.ENSP00000350708,9606.ENSP00000344818,0,0,0,0,0,0.999,0,0,0.999
PSMD6,PSMA3,1847640,1842599,9606.ENSP00000295901,9606.ENSP00000216455,0,0,0,0,0,0.999,0,0,0.999
LSM1,LSM3,1849319,1848377,9606.ENSP00000310596,9606.ENSP00000302160,0,0,0,0,0,0.999,0,0,0.999
EFTUD2,SNRNP40,1859618,1845395,9606.ENSP00000392094,9606.ENSP00000263694,0,0,0,0,0,0.999,0,0,0.999
MED13,TRIP4,1858525,1845018,9606.ENSP00000380888,9606.ENSP00000261884,0,0,0,0,0,0.999,0,0,0.999
COPS5,COPS7A,1853602,1843187,9606.ENSP00000350512,9606.ENSP00000229251,0,0,0,0,0,0.999,0,0,0.999
NFYC,NFYB,1859948,1843547,9606.ENSP00000396620,9606.ENSP00000240055,0,0,0,0,0,0.999,0,0,0.999
LSM7,SNRPD3,1844145,1842511,9606.ENSP00000252622,9606.ENSP00000215829,0,0,0,0,0,0.999,0,0,0.999
EXOSC1,EXOSC7,1855369,1845771,9606.ENSP00000359939,9606.ENSP00000265564,0,0,0,0,0,0.999,0,0,0.999
XIAP,CASP9,1853225,1851230,9606.ENSP00000347858,9606.ENSP00000330237,0,0,0,0,0,0.999,0,0,0.999
PSMA1,PSMB2,1861079,1855861,9606.ENSP00000414359,9606.ENSP00000362334,0,0,0,0,0,0.999,0,0,0.999
UCHL5,PSMC2,1854595,1847374,9606.ENSP00000356425,9606.ENSP00000292644,0,0,0,0,0,0.999,0,0,0.999
MAP3K7,UBC,1855005,1852861,9606.ENSP00000358335,9606.ENSP00000344818,0,0,0,0,0,0.999,0,0,0.999
UBC,RIPK1,1852861,1844726,9606.ENSP00000344818,9606.ENSP00000259808,0,0,0,0,0,0.999,0,0,0.999
PPP2R1A,PPFIA1,1850680,1844260,9606.ENSP00000324804,9606.ENSP00000253925,0,0,0,0,0,0.999,0,0,0.999
LSM1,LSM7,1849319,1844145,9606.ENSP00000310596,9606.ENSP00000252622,0,0,0,0,0,0.999,0,0,0.999
LSM4,LSM1,1864161,1849319,9606.ENSP00000469468,9606.ENSP00000310596,0,0,0,0,0,0.999,0,0,0.999
STX5,GOSR1,1847470,1843045,9606.ENSP00000294179,9606.ENSP00000225724,0,0,0,0,0,0.999,0,0,0.999
GPS1,COPS7B,1853150,1846289,9606.ENSP00000347251,9606.ENSP00000272995,0,0,0,0,0,0.999,0,0,0.999
